section,title,description,description_extended,img_path,link,tags,categories
Selected Work,How has your neighborhood changed?,I harmonized ACS5 data across the last 14 years to build an interactive that lets you explore how your neighborhood has changed.,"Role: data exploration, design, graphics development, project co-ordination

This was a larger scale project that involved collaboration between reporters and editors from the DevHub, the Houston Chronicle, and the San Francisco Chronicle.

For this project, I started out with top level data validation and exploration to identify variables that we could look into for the final interactive. This involved pulling data from NHGIS, harmonizing it across the years, and then spot checking the data at the tract level. I also experimented with different ways of harmonizing the data, and methods to identify tracts that might be inaccurate as a time series because of harmonization.

Eventually, the work was split up a bit more and my main role was design and development of the interactive. For this project, we wanted users to be able to explore the data for their specific neighborhood, and to be able to provide a bit of context to help them make sense of the census variables. One approach I implemented was to write dynamic text that can help compare the changes seen in your census tract with changes we are seeing in the state as a whole. 

You can explore the project <a href=""https://www.houstonchronicle.com/projects/2026/census-neighborhood-search/"" target=""_blank"">here</a>.
",neighborhood-change.gif,https://www.houstonchronicle.com/projects/2026/census-neighborhood-search/,Hearst; Python; Pandas; React; Figma; Maplibre; d3.js,Data; Personal Favs
Selected Work,Why do TikTokers talk differently?,I scraped and analysed more than 300 videos from TikTok to characterise what the TikTok accent is.,"Role: Reporting, Data Collection, Analysis, Writing, Graphics Development

This was my capstone project my Master's degree in Data Journalism at Columbia Journalism School. 

The idea for this project came, as one does, while scrolling on TikTok. I noticed that many influencers, particularly influencers that did Amazon product reviews. Inspired by a visual story in The Pudding about national anthems, I wanted to explain what the accent was and why these creators were speaking that way.

<h3>Data Analysis</h3>
With the help of Professor Jonathan Soma, I scraped TikTok for its videos and metrics. I then used Parselmouth — a python implementation of the linguistic software Praat — to extract out the pitch values of every TikTok videos I was observing.

Referencing an academic paper titled The use of high rise terminals in Southern Californian English (2014) by Amanda Ritchart and Amalia Arvanti, I then implemented in python a function to track “uptalk” within the pitch values. I then counted the number of instances of uptalk there were in one video and averaged the number of instances per 15 seconds as a metric of comparison across videos and genres of TikTok.

When I plotted the density chart, I found that the median number of intonations from Amazon TikToks were visibly greater than that of other genres of TikTok. I validated this finding with a T-test in R.

I also wanted to see if there was a correlation between this metric and the view counts of these videos. I ran a regression model but found that there was a significant relationship between the two metrics.

<h3>Front End</h3>
The goal of this project was to be able to create an interactive story. The project was built in Svelte and d3. Read the story <a href=""https://dlaiu.github.io/tiktok-accent/"" target=""_blank"">here.</a> And if you're curious about the code, you can find it <a href=""https://github.com/dlaiu/tiktok-accent"" target=""_blank"">here.</a>",tiktok-thumb.png,https://dlaiu.github.io/tiktok-accent/,TikTok Scraping; Python; Svelte; D3.js,
Selected Work,How development reshaped Connecticut,I helped to translate the analysis for a story on change in land use to other markets.,"Role: data analysis, graphics development

For this project, I translated what was originally done for the San Francisco Chronicle to other outlets within Hearst Newspapers. This was a collaborative effort with local reporters and I was responsible for the data analysis and the web development for this story.

For the analysis, I used 2015 and 2025 data from the National Land Cover Database to identify areas that went through the most development. The inital analysis was done using QGIS.


After identifying these areas, I pulled statellite images from Nearmap so that we can see more closely what the nature of the development was. Following that, these images were presented through a scrollytelling map in the story.

Read more <a href=""https://www.ctinsider.com/projects/2025/connecticut-development-before-after-images/"" target=""_blank"">here.</a>

This story was also published in the <a href=""https://www.houstonchronicle.com/projects/2026/houston-landscape-changes/"" target=""_blank"">Houston Chronicle</a>, <a href=""https://www.expressnews.com/projects/2026/san-antonio-development-landscape-change/"" target=""_blank"">the San Antonio Express</a>, and <a href=""https://www.statesman.com/projects/2026/austin-growth-before-after-photos-maps/"" target=""_blank"">the Austin American-Statesman.<a/>",ct-landuse.jpg,https://www.ctinsider.com/projects/2025/connecticut-development-before-after-images/,Hearst; QGIS; MapLibre; Python; React,
Everything Else,S.F. public data was a niche interest. That was before ‘vibe-coding’,Requests to datasets from San Francisco Open Data have skyrocketed since the introduction of AI coding assistants.,,vibecoding.webp,https://www.sfchronicle.com/sf/article/sf-public-data-coding-agents-22299636.php,Python; Datawrapper,Data
Everything Else,Bay Area companies want employees back in the office. Remote work isn’t budging,"The share of days worked from home has remained relatively stable in the past year, despite Bay Area companies implementing return-to-office policies.",,wfh.webp,https://www.sfchronicle.com/bayarea/article/remote-work-stabilizing-22308152.php,Python; Datawrapper,Data
Everything Else,S.F. police are rapidly expanding drone use. Critics warn of surveillance risk,The city’s police have already deployed drones more drones in 2026 than all of 2025.,,drones.webp,https://www.sfchronicle.com/crime/article/san-francisco-drones-22325281.php,Python; Datawrapper,Data
Everything Else,Tiktok Universe,I turned my TikTok watch history into a galaxy you can explore.,,tiktok-universe.png,https://dlaiu.github.io/tiktok-universe/,Python; Svelte; Cluster Analysis; Whisper; Claude Code,Data; Personal Favs
Everything Else,TikTok Wrapped,"I downloaded my TikTok watch data, transcribed it, and ran cluster analyses on the transcripts to find patterns in what I watched.",,tiktok-wrapped-thumb.jpg,https://dlaiu.github.io/tiktok-wrapped/,Python; Svelte; Cluster Analysis; Whisper,Data; Personal Favs
Everything Else,Grocery Price Dashboard,"I helped build a dashboard that tracks grocery prices across time, published across six Hearst markets. This piece earned an Award of
Excellence from the Society of News Design in 2026. Role: graphics development.",,grocery-dashboard.png,https://www.sfchronicle.com/projects/grocery-price-tracker/,Hearst; React; d3.js,Data; Personal Favs
Everything Else,Spotify Wrapped,"I presented the city's top tracks from Spotify in an interactive presentation. Role: design, graphics development",,spotify-wrapped-2026.png,https://www.sfchronicle.com/projects/2025/spotify-wrapped-san-francisco/,Hearst; React; d3.js; Figma; Adobe Illustrator,Data
Everything Else,College Return on Investments,I helped translate analyses of the ROI for different colleges in California for stories in other states.,"Role: data analysis, graphics development

This story was done using data from Georgetown University's Center on Education and the Workforce and the methodology from a story originally done by the San Francisco Chronicle. 

The story was a collaboration between me and local reporters. For this project, I was responsible for the data analysis and the web development of the data visualizations for the piece. 

Read more <a href=""https://www.ctinsider.com/projects/news/education/connecticut-colleges-ranked-return-on-investment/"" target=""_blank"">here.</a> This story was also published in <a href=""https://www.timesunion.com/projects/2025/ny-colleges-return-investment/"" target=""_blank"">the Times Union</a>, <a href=""https://www.houstonchronicle.com/projects/2025/colleges-return-on-investment/"" target=""_blank"">the Houston Chronicle</a>, <a href=""https://www.expressnews.com/projects/2025/colleges-return-on-investment/"" target=""_blank"">the San Antonio Express</a>, and <a href=""https://www.statesman.com/projects/2025/texas-a-m-ut-austin-roi-college-university-ranking/"" target=""_blank"">the Austin American-Statesman.</a>",college-roi.jpg,https://www.ctinsider.com/projects/news/education/connecticut-colleges-ranked-return-on-investment/,Hearst; Python; Pandas; React,Data; Personal Favs
Everything Else,California flood/tsunami map,I helped tweak the front end to also display tsunami data when relevant.,,california-flood.jpg,https://www.sfchronicle.com/projects/flood-map-california-bay-area/,Hearst; React; MapLibre,Data
